Segment,Category,Sub-Category,City,Order Date,Postal Code,Region,Ship Status,State,Profit,Quantity,Sales
Home Office,Office Furniture,Storage Cabinets,Holyoke,6-Jul-19,1040,Eastern,Early Delivery,Massachusetts,36,3,262
Corporate,Office Supplies,Folders,Leominster,26-Nov-19,1453,Eastern,Early Delivery,Massachusetts,17,5,732
Corporate,Office Supplies,Folders,Leominster,26-Nov-19,1453,Eastern,Early Delivery,Massachusetts,12,5,15
Consumer,Office Supplies,Label Maker Tape,Leominster,25-Feb-19,1453,Eastern,Early Delivery,Massachusetts,3,6,958
Consumer,Office Supplies,Printing Paper,Leominster,25-Feb-19,1453,Eastern,Early Delivery,Massachusetts,55,3,22
Corporate,Office Supplies,Printing Paper,Leominster,26-Nov-19,1453,Eastern,Early Delivery,Massachusetts,16,3,49
Corporate,Office Supplies,Storage and Archive,Leominster,26-Nov-19,1453,Eastern,Early Delivery,Massachusetts,6,5,7
Consumer,Office Furniture,Corner Desks,Marlborough,16-Sep-20,1752,Eastern,Early Delivery,Massachusetts,2,5,907
Consumer,Office Furniture,Corner Desks,Marlborough,16-Sep-20,1752,Eastern,Early Delivery,Massachusetts,15,5,19
Consumer,Office Furniture,Computer Chairs,Andover,8-Mar-20,1810,Eastern,Late Delivery,Massachusetts,15,3,115
Consumer,Office Supplies,Folders,Andover,8-Mar-20,1810,Eastern,Late Delivery,Massachusetts,3,3,1706
Consumer,Office Supplies,Printing Paper,Andover,8-Mar-20,1810,Eastern,Late Delivery,Massachusetts,13,2,911
Consumer,Office Supplies,Storage and Archive,Andover,8-Mar-20,1810,Eastern,Late Delivery,Massachusetts,13,4,16
Consumer,Office Supplies,Artwork and Statues,Lawrence,8-Aug-19,1841,Eastern,Early Delivery,Massachusetts,1,4,408
Consumer,Office Supplies,Artwork and Statues,Lawrence,7-May-18,1841,Eastern,Early Delivery,Massachusetts,5,5,69
Corporate,Office Supplies,Artwork and Statues,Lawrence,10-Sep-21,1841,Eastern,Late Delivery,Massachusetts,105,2,3
Corporate,Office Supplies,Artwork and Statues,Lawrence,17-Jan-19,1841,Eastern,Early Delivery,Massachusetts,0,2,666
Consumer,Office Furniture,Computer Chairs,Lawrence,7-May-18,1841,Eastern,Early Delivery,Massachusetts,4,3,56
Corporate,Office Furniture,Corner Desks,Lawrence,19-Oct-21,1841,Eastern,Early Delivery,Massachusetts,2,4,9
Corporate,Office Furniture,Corner Desks,Lawrence,30-Apr-19,1841,Eastern,Early Delivery,Massachusetts,40,5,213
Corporate,Office Furniture,Corner Desks,Lawrence,30-Apr-19,1841,Eastern,Early Delivery,Massachusetts,6,5,23
Corporate,Office Furniture,Corner Desks,Lawrence,30-Apr-19,1841,Eastern,Early Delivery,Massachusetts,34,5,19
Consumer,Office Supplies,Envelopes,Lawrence,26-Dec-19,1841,Eastern,Late Delivery,Massachusetts,19,2,60
Home Office,Office Supplies,Envelopes,Lawrence,14-Dec-21,1841,Eastern,Early Delivery,Massachusetts,4,2,71
Consumer,Office Supplies,Folders,Lawrence,20-Sep-19,1841,Eastern,Late Delivery,Massachusetts,8,4,1045
Consumer,Office Supplies,Folders,Lawrence,8-Aug-19,1841,Eastern,Early Delivery,Massachusetts,7,4,12
Consumer,Office Supplies,Folders,Lawrence,7-May-18,1841,Eastern,Early Delivery,Massachusetts,9,4,91
Corporate,Office Supplies,Folders,Lawrence,19-Aug-21,1841,Eastern,Early Delivery,Massachusetts,6,5,3083
Home Office,Office Supplies,Folders,Lawrence,21-May-18,1841,Eastern,Early Delivery,Massachusetts,14,6,10
Consumer,Office Supplies,Kitchen Appliances,Lawrence,8-Aug-19,1841,Eastern,Early Delivery,Massachusetts,12,7,124
Home Office,Office Supplies,Kitchen Appliances,Lawrence,21-May-18,1841,Eastern,Early Delivery,Massachusetts,5,7,3
Consumer,Office Supplies,Label Maker Tape,Lawrence,8-Dec-20,1841,Eastern,Early Delivery,Massachusetts,3,3,86
Consumer,Office Supplies,Label Maker Tape,Lawrence,8-Dec-20,1841,Eastern,Early Delivery,Massachusetts,6,7,7
Corporate,Technology,Phone and Fax,Lawrence,24-Sep-21,1841,Eastern,On Schedule,Massachusetts,15,3,16
Corporate,Technology,Phone and Fax,Lawrence,24-Sep-21,1841,Eastern,On Schedule,Massachusetts,2,3,29
Corporate,Technology,Phone and Fax,Lawrence,30-Apr-19,1841,Eastern,Early Delivery,Massachusetts,2,8,1098
Home Office,Technology,Printers,Lawrence,14-Dec-21,1841,Eastern,Early Delivery,Massachusetts,9,4,191
Consumer,Office Supplies,Printing Paper,Lawrence,19-Aug-21,1841,Eastern,Early Delivery,Massachusetts,6,3,113
Corporate,Office Supplies,Printing Paper,Lawrence,30-Apr-19,1841,Eastern,Early Delivery,Massachusetts,61,3,532
Home Office,Office Supplies,Printing Paper,Lawrence,21-May-18,1841,Eastern,Early Delivery,Massachusetts,7,3,212
Consumer,Office Furniture,Standard Desks,Lawrence,7-May-18,1841,Eastern,Early Delivery,Massachusetts,2,6,371
Home Office,Office Furniture,Standard Desks,Lawrence,14-Dec-21,1841,Eastern,Early Delivery,Massachusetts,7,14,147
Home Office,Office Supplies,Stationary Supplies,Lawrence,14-Dec-21,1841,Eastern,Early Delivery,Massachusetts,4,2,78
Corporate,Office Supplies,Storage and Archive,Lawrence,19-Oct-21,1841,Eastern,Early Delivery,Massachusetts,79,4,96
Corporate,Office Supplies,Storage and Archive,Lawrence,28-Sep-18,1841,Eastern,Early Delivery,Massachusetts,44,5,46
Home Office,Office Supplies,Storage and Archive,Lawrence,14-Dec-21,1841,Eastern,Early Delivery,Massachusetts,7,5,17
Consumer,Office Supplies,Artwork and Statues,Lowell,8-Jul-21,1852,Eastern,Early Delivery,Massachusetts,14,4,212
Consumer,Office Supplies,Artwork and Statues,Lowell,8-Jul-21,1852,Eastern,Early Delivery,Massachusetts,3,4,45
Corporate,Office Furniture,Computer Chairs,Lowell,9-Sep-18,1852,Eastern,On Schedule,Massachusetts,6,3,22
Consumer,Office Furniture,Corner Desks,Lowell,1-Dec-18,1852,Eastern,Late Delivery,Massachusetts,14,4,38
Consumer,Office Furniture,Corner Desks,Lowell,1-Dec-18,1852,Eastern,Late Delivery,Massachusetts,2,4,75
Consumer,Office Supplies,Kitchen Appliances,Lowell,2-Dec-21,1852,Eastern,Late Delivery,Massachusetts,7,7,6
Consumer,Technology,Phone and Fax,Lowell,1-Dec-18,1852,Eastern,Late Delivery,Massachusetts,6,8,90
Consumer,Technology,Phone and Fax,Lowell,2-Dec-21,1852,Eastern,Late Delivery,Massachusetts,6,2,15
Corporate,Technology,Phone and Fax,Lowell,12-Mar-21,1852,Eastern,Early Delivery,Massachusetts,16,5,1030
Consumer,Office Supplies,Printing Paper,Lowell,8-Jul-21,1852,Eastern,Early Delivery,Massachusetts,3,2,209
Corporate,Office Supplies,Printing Paper,Lowell,9-Sep-18,1852,Eastern,On Schedule,Massachusetts,94,3,32
Corporate,Office Supplies,Printing Paper,Lowell,9-Sep-18,1852,Eastern,On Schedule,Massachusetts,0,3,319
Corporate,Office Supplies,Printing Paper,Lowell,5-Jun-20,1852,Eastern,On Schedule,Massachusetts,105,3,15
Consumer,Office Supplies,Stationary Supplies,Lowell,2-Dec-21,1852,Eastern,Late Delivery,Massachusetts,1,2,30
Consumer,Office Supplies,Storage and Archive,Lowell,5-Jun-20,1852,Eastern,On Schedule,Massachusetts,31,4,48
Corporate,Office Supplies,Storage and Archive,Lowell,9-Sep-18,1852,Eastern,On Schedule,Massachusetts,65,5,2
Corporate,Office Supplies,Kitchen Appliances,Beverly,28-Dec-18,1915,Eastern,Early Delivery,Massachusetts,15,7,14
Corporate,Office Supplies,Printing Paper,Beverly,28-Dec-18,1915,Eastern,Early Delivery,Massachusetts,23,3,26
Corporate,Office Supplies,Storage and Archive,Beverly,28-Dec-18,1915,Eastern,Early Delivery,Massachusetts,17,5,147
Consumer,Office Supplies,Artwork and Statues,Franklin,8-Nov-19,2038,Eastern,On Schedule,Massachusetts,8,8,80
Home Office,Technology,Cables and Connectors,Franklin,31-Dec-18,2038,Eastern,Late Delivery,Massachusetts,17,2,213
Home Office,Office Furniture,Computer Chairs,Franklin,1-Sep-19,2038,Eastern,Late Delivery,Massachusetts,88,3,1113
Consumer,Office Furniture,Corner Desks,Franklin,30-Nov-20,2038,Eastern,Late Delivery,Massachusetts,1,4,168
Home Office,Office Furniture,Corner Desks,Franklin,31-Dec-18,2038,Eastern,Late Delivery,Massachusetts,42,5,76
Home Office,Office Furniture,Corner Desks,Franklin,1-Sep-19,2038,Eastern,Late Delivery,Massachusetts,5,5,5
Corporate,Office Supplies,Folders,Franklin,9-Jul-19,2038,Eastern,Early Delivery,Massachusetts,6,5,19
Home Office,Office Supplies,Folders,Franklin,1-Sep-19,2038,Eastern,Late Delivery,Massachusetts,15,6,832
Consumer,Office Supplies,Kitchen Appliances,Franklin,30-Nov-20,2038,Eastern,Late Delivery,Massachusetts,11,7,97
